AFORE,SIEFORE,Año,Suma IRN,Promedio,Ranking
  Profuturo,Todas,2021,979.6719888,81.6393324,1
  SURA,Todas,2021,955.4485812,79.6207151,2
  Citibanamex,Todas,2021,896.4063991,74.70053326,3
  XXI-Banorte,Todas,2021,890.5641472,74.21367893,4
  Principal,Todas,2021,876.0865106,73.00720921,5
  Coppel,Todas,2021,869.2403718,72.43669765,6
  PensionISSSTE,Todas,2021,834.2969264,69.52474387,7
  Azteca,Todas,2021,833.9186337,69.49321948,8
  Inbursa,Todas,2021,812.2901385,67.69084487,9
  Invercap,Todas,2021,753.5784385,62.79820321,10
  Profuturo,Todas,2022,3064.380859,255.3650716,1
  SURA,Todas,2022,3006.935099,250.5779249,2
  XXI-Banorte,Todas,2022,809.258594,67.43821617,3
  PensionISSSTE,Todas,2022,804.9808002,67.08173335,4
  Principal,Todas,2022,799.7574052,66.64645043,5
  Inbursa,Todas,2022,778.1065335,64.84221112,6
  Citibanamex,Todas,2022,772.1879627,64.34899689,7
  Coppel,Todas,2022,747.1557749,62.26298124,8
  Azteca,Todas,2022,723.1447777,60.26206481,9
  Invercap,Todas,2022,681.9606336,56.8300528,10
  Profuturo,Todas,2023,4853.424993,404.4520827,1
  SURA,Todas,2023,4782.699373,398.5582811,2
  Inbursa,Todas,2023,599.336052,49.944671,3
  PensionISSSTE,Todas,2023,566.2032744,47.1836062,4
  XXI-Banorte,Todas,2023,549.4136287,45.78446906,5
  Principal,Todas,2023,538.8047009,44.90039174,6
  Coppel,Todas,2023,511.772721,42.64772675,7
  Citibanamex,Todas,2023,500.701696,41.72514134,8
  Azteca,Todas,2023,490.7262942,40.89385785,9
  Invercap,Todas,2023,468.2823113,39.02352594,10
