AFORE,Fecha,IRN ponderado,Ranking
Azteca,ene-21,6.74,7
Citibanamex,ene-21,7.06,4
Coppel,ene-21,7.25,3
Inbursa,ene-21,6.51,9
Invercap,ene-21,5.73,10
PensionISSSTE,ene-21,6.69,8
Principal,ene-21,6.82,6
Profuturo,ene-21,7.79,1
SURA,ene-21,7.33,2
XXI Banorte,ene-21,6.97,5
Azteca,feb-21,6.90,7
Citibanamex,feb-21,7.33,4
Coppel,feb-21,7.39,3
Inbursa,feb-21,6.57,9
Invercap,feb-21,5.94,10
PensionISSSTE,feb-21,6.79,8
Principal,feb-21,7.01,6
Profuturo,feb-21,7.98,1
SURA,feb-21,7.61,2
XXI Banorte,feb-21,7.14,5
Azteca,mar-21,7.07,7
Citibanamex,mar-21,7.57,3
Coppel,mar-21,7.56,4
Inbursa,mar-21,6.66,9
Invercap,mar-21,6.14,10
PensionISSSTE,mar-21,6.92,8
Principal,mar-21,7.21,6
Profuturo,mar-21,8.14,1
SURA,mar-21,7.87,2
XXI Banorte,mar-21,7.30,5
Azteca,abr-21,7.22,7
Citibanamex,abr-21,7.80,3
Coppel,abr-21,7.69,4
Inbursa,abr-21,6.74,9
Invercap,abr-21,6.33,10
PensionISSSTE,abr-21,7.01,8
Principal,abr-21,7.39,6
Profuturo,abr-21,8.31,1
SURA,abr-21,8.10,2
XXI Banorte,abr-21,7.47,5
Azteca,may-21,7.30,7
Citibanamex,may-21,7.95,3
Coppel,may-21,7.76,4
Inbursa,may-21,6.81,9
Invercap,may-21,6.46,10
PensionISSSTE,may-21,7.08,8
Principal,may-21,7.52,6
Profuturo,may-21,8.42,1
SURA,may-21,8.28,2
XXI Banorte,may-21,7.60,5
Azteca,jun-21,7.33,7
Citibanamex,jun-21,8.04,3
Coppel,jun-21,7.81,4
Inbursa,jun-21,6.85,9
Invercap,jun-21,6.52,10
PensionISSSTE,jun-21,7.11,8
Principal,jun-21,7.60,6
Profuturo,jun-21,8.50,1
SURA,jun-21,8.38,2
XXI Banorte,jun-21,7.68,5
Azteca,jul-21,7.24,7
Citibanamex,jul-21,8.01,3
Coppel,jul-21,7.73,4
Inbursa,jul-21,6.83,9
Invercap,jul-21,6.47,10
PensionISSSTE,jul-21,7.06,8
Principal,jul-21,7.58,6
Profuturo,jul-21,8.46,1
SURA,jul-21,8.34,2
XXI Banorte,jul-21,7.67,5
Azteca,ago-21,7.10,7
Citibanamex,ago-21,7.90,3
Coppel,ago-21,7.59,5
Inbursa,ago-21,6.80,9
Invercap,ago-21,6.36,10
PensionISSSTE,ago-21,6.97,8
Principal,ago-21,7.49,6
Profuturo,ago-21,8.36,1
SURA,ago-21,8.23,2
XXI Banorte,ago-21,7.60,4
Azteca,sep-21,7.01,7
Citibanamex,sep-21,7.86,3
Coppel,sep-21,7.49,5
Inbursa,sep-21,6.77,9
Invercap,sep-21,6.29,10
PensionISSSTE,sep-21,6.92,8
Principal,sep-21,7.45,6
Profuturo,sep-21,8.32,1
SURA,sep-21,8.18,2
XXI Banorte,sep-21,7.60,4
Azteca,oct-21,6.99,7
Citibanamex,oct-21,7.86,3
Coppel,oct-21,7.45,6
Inbursa,oct-21,6.79,9
Invercap,oct-21,6.29,10
PensionISSSTE,oct-21,6.93,8
Principal,oct-21,7.47,5
Profuturo,oct-21,8.36,1
SURA,oct-21,8.16,2
XXI Banorte,oct-21,7.63,4
Azteca,nov-21,7.06,7
Citibanamex,nov-21,7.99,3
Coppel,nov-21,7.48,6
Inbursa,nov-21,6.80,9
Invercap,nov-21,6.40,10
PensionISSSTE,nov-21,7.04,8
Principal,nov-21,7.61,5
Profuturo,nov-21,8.49,1
SURA,nov-21,8.25,2
XXI Banorte,nov-21,7.78,4
Azteca,dic-21,7.12,8
Citibanamex,dic-21,8.11,3
Coppel,dic-21,7.49,6
Inbursa,dic-21,6.82,9
Invercap,dic-21,6.52,10
PensionISSSTE,dic-21,7.18,7
Principal,dic-21,7.74,5
Profuturo,dic-21,8.60,1
SURA,dic-21,8.34,2
XXI Banorte,dic-21,7.91,4
Azteca,ene-22,7.16,8
Citibanamex,ene-22,8.18,3
Coppel,ene-22,7.51,6
Inbursa,ene-22,6.83,9
Invercap,ene-22,6.61,10
PensionISSSTE,ene-22,7.32,7
Principal,ene-22,7.83,5
Profuturo,ene-22,8.66,1
SURA,ene-22,8.41,2
XXI Banorte,ene-22,8.00,4
Azteca,feb-22,7.16,8
Citibanamex,feb-22,8.17,3
Coppel,feb-22,7.51,6
Inbursa,feb-22,6.82,9
Invercap,feb-22,6.63,10
PensionISSSTE,feb-22,7.42,7
Principal,feb-22,7.87,5
Profuturo,feb-22,8.67,1
SURA,feb-22,8.42,2
XXI Banorte,feb-22,8.02,4
Azteca,mar-22,7.10,8
Citibanamex,mar-22,8.07,3
Coppel,mar-22,7.44,7
Inbursa,mar-22,6.81,9
Invercap,mar-22,6.60,10
PensionISSSTE,mar-22,7.47,6
Principal,mar-22,7.84,5
Profuturo,mar-22,8.59,1
SURA,mar-22,8.33,2
XXI Banorte,mar-22,7.94,4
Azteca,abr-22,6.99,8
Citibanamex,abr-22,7.92,3
Coppel,abr-22,7.31,7
Inbursa,abr-22,6.76,9
Invercap,abr-22,6.54,10
PensionISSSTE,abr-22,7.46,6
Principal,abr-22,7.77,5
Profuturo,abr-22,8.48,1
SURA,abr-22,8.20,2
XXI Banorte,abr-22,7.83,4
Azteca,may-22,6.68,8
Citibanamex,may-22,7.52,3
Coppel,may-22,7.01,7
Inbursa,may-22,6.66,9
Invercap,may-22,6.26,10
PensionISSSTE,may-22,7.29,6
Principal,may-22,7.48,5
Profuturo,may-22,8.18,1
SURA,may-22,7.87,2
XXI Banorte,may-22,7.50,4
Azteca,jun-22,6.30,9
Citibanamex,jun-22,7.01,5
Coppel,jun-22,6.65,7
Inbursa,jun-22,6.55,8
Invercap,jun-22,5.89,10
PensionISSSTE,jun-22,6.99,6
Principal,jun-22,7.09,3
Profuturo,jun-22,7.77,1
SURA,jun-22,7.44,2
XXI Banorte,jun-22,7.08,4
Azteca,jul-22,5.94,9
Citibanamex,jul-22,6.54,6
Coppel,jul-22,6.32,8
Inbursa,jul-22,6.44,7
Invercap,jul-22,5.54,10
PensionISSSTE,jul-22,6.69,4
Principal,jul-22,6.72,3
Profuturo,jul-22,7.39,1
SURA,jul-22,7.02,2
XXI Banorte,jul-22,6.67,5
Azteca,ago-22,5.71,9
Citibanamex,ago-22,6.26,7
Coppel,ago-22,6.07,8
